Country Name,Country Code,Year,Gender,Value
Aruba,ABW,1960,Male,
Africa Eastern and Southern,AFE,1960,Male,
Afghanistan,AFG,1960,Male,
Africa Western and Central,AFW,1960,Male,
Angola,AGO,1960,Male,
Albania,ALB,1960,Male,
Andorra,AND,1960,Male,
Arab World,ARB,1960,Male,
United Arab Emirates,ARE,1960,Male,
Argentina,ARG,1960,Male,
Armenia,ARM,1960,Male,
American Samoa,ASM,1960,Male,
Antigua and Barbuda,ATG,1960,Male,
Australia,AUS,1960,Male,
Austria,AUT,1960,Male,
Azerbaijan,AZE,1960,Male,
Burundi,BDI,1960,Male,
Belgium,BEL,1960,Male,
Benin,BEN,1960,Male,
Burkina Faso,BFA,1960,Male,
Bangladesh,BGD,1960,Male,
Bulgaria,BGR,1960,Male,
Bahrain,BHR,1960,Male,
"Bahamas, The",BHS,1960,Male,
Bosnia and Herzegovina,BIH,1960,Male,
Belarus,BLR,1960,Male,
Belize,BLZ,1960,Male,
Bermuda,BMU,1960,Male,
Bolivia,BOL,1960,Male,
Brazil,BRA,1960,Male,
Barbados,BRB,1960,Male,
Brunei Darussalam,BRN,1960,Male,
Bhutan,BTN,1960,Male,
Botswana,BWA,1960,Male,
Central African Republic,CAF,1960,Male,
Canada,CAN,1960,Male,
Central Europe and the Baltics,CEB,1960,Male,
Switzerland,CHE,1960,Male,
Channel Islands,CHI,1960,Male,
Chile,CHL,1960,Male,
China,CHN,1960,Male,
Cote d'Ivoire,CIV,1960,Male,
Cameroon,CMR,1960,Male,
"Congo, Dem. Rep.",COD,1960,Male,
"Congo, Rep.",COG,1960,Male,
Colombia,COL,1960,Male,
Comoros,COM,1960,Male,
Cabo Verde,CPV,1960,Male,
Costa Rica,CRI,1960,Male,
Caribbean small states,CSS,1960,Male,
Cuba,CUB,1960,Male,
Curacao,CUW,1960,Male,
Cayman Islands,CYM,1960,Male,
Cyprus,CYP,1960,Male,
Czechia,CZE,1960,Male,
Germany,DEU,1960,Male,
Djibouti,DJI,1960,Male,
Dominica,DMA,1960,Male,
Denmark,DNK,1960,Male,
Dominican Republic,DOM,1960,Male,
Algeria,DZA,1960,Male,
East Asia & Pacific (excluding high income),EAP,1960,Male,
Early-demographic dividend,EAR,1960,Male,
East Asia & Pacific,EAS,1960,Male,
Europe & Central Asia (excluding high income),ECA,1960,Male,
Europe & Central Asia,ECS,1960,Male,
Ecuador,ECU,1960,Male,
"Egypt, Arab Rep.",EGY,1960,Male,
Euro area,EMU,1960,Male,
Eritrea,ERI,1960,Male,
Spain,ESP,1960,Male,
Estonia,EST,1960,Male,
Ethiopia,ETH,1960,Male,
European Union,EUU,1960,Male,
Fragile and conflict affected situations,FCS,1960,Male,
Finland,FIN,1960,Male,
Fiji,FJI,1960,Male,
France,FRA,1960,Male,
Faroe Islands,FRO,1960,Male,
"Micronesia, Fed. Sts.",FSM,1960,Male,
Gabon,GAB,1960,Male,
United Kingdom,GBR,1960,Male,
Georgia,GEO,1960,Male,
Ghana,GHA,1960,Male,
Gibraltar,GIB,1960,Male,
Guinea,GIN,1960,Male,
"Gambia, The",GMB,1960,Male,
Guinea-Bissau,GNB,1960,Male,
Equatorial Guinea,GNQ,1960,Male,
Greece,GRC,1960,Male,
Grenada,GRD,1960,Male,
Greenland,GRL,1960,Male,
Guatemala,GTM,1960,Male,
Guam,GUM,1960,Male,
Guyana,GUY,1960,Male,
High income,HIC,1960,Male,
"Hong Kong SAR, China",HKG,1960,Male,
Honduras,HND,1960,Male,
Heavily indebted poor countries (HIPC),HPC,1960,Male,
Croatia,HRV,1960,Male,
Haiti,HTI,1960,Male,
Hungary,HUN,1960,Male,
IBRD only,IBD,1960,Male,
