"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","479683","","","","","","","","","","","","","","","","","","","553103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","236414","258898","","","","","","","","","","","","","","","448531","","","","","","","","","","124313","149930","117887","72058","","","","","","","","","","","","",
"Albania","ALB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176","","","","","","","","","","","","","","","","1179","3368","5686","",
"Andorra","AND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188","198","192","187","160","154","205","164","140","",
"Arab World","ARB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","7989","","12056","15931","12481","15636","18052","21590","24394","18865","17384","13357","9259","7333","8731","13838","15778","14165","18166","22142","15210","","","","10234","11454","13931","13702","14002","15487","","27018","26264","24586","","","","","","","","","","","","",
"Argentina","ARG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","96028","","","","65798","78547","","","","","","","","","","","","","","","","99867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14814","11887","","9637","8142","6010","","","","4596","4105","1456","987","","","","","2153","3639","6108","7498","",
"American Samoa","ASM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","72","","","","","","","","","",
"Australia","AUS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","20396","","33198","34349","12886","9434","","","3626","9123","10384","15066","16018","24402","25725","23518","22240","19714","18804","17416","19532","21947","24545","25238","43754","41398","44624","43278","44070","47841","8088","","16588","13978","8489","7176","","","","","30270","27116","","","","","","3085","3645","8118","5729","4640","",
"Austria","AUT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22560","","","","","","","","","","1981","3777","3255","3647","3820","3220","3253","3051","2218","2167","2430","2021","3533","2986","2126","1856","2141","3226","1967","1929","1855","1864","1441","2817","",
"Azerbaijan","AZE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29822","38105","37274","36573","34765","31950","28984","36402","36214","30733","32323","23500","17642","185","","","","8799","12763","34346","33109","26875","13068","",
"Burundi","BDI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","218128","","","","","262501","","271236","270680","260828","243458","231538","221270","218570","208777","209957","","","","","259402","","","","","","","307157","253067","241504","226040","229160","209122","110799","66609","23041","46682","26275","25815","35762","68888","63488","85042","103985","149231","183090","209267","211326","232049","246025","",
"Belgium","BEL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","12793","","10806","8229","11957","7471","18761","19219","20886","18261","18963","20825","","","21552","22064","6160","5357","4336","3960","","","3935","7034","","","","2534","2483","2989","3593","4080","4544","4751","7804","7002","6728","6873","7138","7606","5621","5528","5578","5029","6030","","",
"Benin","BEN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","124593","124356","138887","","152618","156999","215390","","173691","157292","162339","155093","150853","138819","","","","","","","","","59997","","42124","1555","","","","","","","","","28139","71264","81045","50664","26653","",
"Burkina Faso","BFA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","367975","375900","","","","","412767","419598","426792","433159","438303","440829","447681","452815","454809","459917","465996","482594","501292","","533840","548354","558722","565070","566417","","","581312","589111","588862","591309","619145","608304","603151","564095","539699","493572","439667","421585","513205","472794","482233","493176","496505","496599","428962","432730","412360","455458","527757","556526","635559","",
"Bangladesh","BGD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","1728526","","","514284","","","89222","732722","869758","","","1616301","","1635756","2006002","2136775","2248048","2360441","1910651","2003300","1926679","","","","","","","","","","","","","","","455454","514802","","791808","999806","829516","","","","","","","","","","","","","",
"Bulgaria","BGR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9336","7785","","","1188","1762","","","","","","","","1580","1240","2210","3380","3877","3853","4564","6294","8556","10483","13632","16936","18731","","",
"Bahrain","BHR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","5066","5560","5947","5323","4118","3980","3181","3392","3565","4063","5453","6472","6441","6017","5108","3420","3607","2435","2408","","4017","6574","6976","7360","6876","6554","6684","5830","5321","6608","6396","6366","6925","6207","5612","3114","","","","","3472","1519","","","","","","1219","1668","","","5319","",
"Bahamas, The","BHS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","1021","659","","","","","","","","","","","","","","","1642","1609","","","","","","4251","","","","","3765","3026","3398","2976","3061","4102","4362","2715","3707","","","","","","","","","","","",
